date,close,nifty100_return
2022-01-04,18030.94921875,0.008780867111446877
2022-01-05,18147.5,0.0064639293159787226
2022-01-06,17985.599609375,-0.008921360552417656
2022-01-07,18053.94921875,0.003800240795940546
2022-01-10,18229.099609375,0.009701500126249263
2022-01-11,18275.150390625,0.0025262235786081
2022-01-12,18430.25,0.008486912887708087
2022-01-13,18482.44921875,0.002832257769156632
2022-01-14,18485.69921875,0.00017584249584756684
2022-01-17,18543.19921875,0.0031105125816219825
2022-01-18,18331.69921875,-0.011405798832498149
2022-01-19,18179.69921875,-0.00829164815471839
2022-01-20,18021.099609375,-0.00872399523592915
2022-01-21,17856.150390625,-0.009153116198535982
2022-01-24,17353.44921875,-0.028152830306521825
2022-01-25,17489.150390625,0.007819838590265915
2022-01-27,17302.349609375,-0.01068095230916044
2022-01-28,17314.69921875,0.0007137533140764152
2022-01-31,17547.400390625,0.013439515693290716
2022-02-01,17796.25,0.014181565578679889
2022-02-02,17998.75,0.011378801713844311
2022-02-03,17794.69921875,-0.011336941801514011
2022-02-04,17755.30078125,-0.0022140547033515645
2022-02-07,17477.650390625,-0.015637605583015857
2022-02-08,17509.80078125,0.0018395144602643132
2022-02-09,17707.849609375,0.011310741372744681
2022-02-10,17842.900390625,0.007626605388522112
2022-02-11,17606.599609375,-0.013243406401246105
2022-02-14,17060.69921875,-0.031005441296814817
2022-02-15,17560.55078125,0.029298421834355715
2022-02-16,17530.650390625,-0.0017027023239456485
2022-02-17,17524.44921875,-0.00035373313236086723
2022-02-18,17472.900390625,-0.0029415377043545687
2022-02-21,17379.099609375,-0.005368357808548385
2022-02-22,17276.5,-0.005903620537375476
2022-02-23,17273.44921875,-0.00017658560761724118
2022-02-24,16428.05078125,-0.048942074440021854
2022-02-25,16872.349609375,0.027045133597474402
2022-02-28,17016.55078125,0.008546596959730923
2022-03-02,16855.69921875,-0.009452653746800266
2022-03-03,16761.599609375,-0.00558265831359428
2022-03-04,16482.849609375,-0.01663027434709108
2022-03-07,16086.9501953125,-0.024018869518612984
2022-03-08,16251.650390625,0.010238124275444793
2022-03-09,16571.55078125,0.019684178710215106
2022-03-10,16835.5,0.015927852633360606
2022-03-11,16877.69921875,0.002506561655430506
2022-03-14,17076.599609375,0.011784804791640902
2022-03-15,16873.44921875,-0.011896419385125756
2022-03-16,17198.0,0.019234406495226564
2022-03-17,17505.400390625,0.017874194128677745
2022-03-21,17323.650390625,-0.01038251030792392
2022-03-22,17499.19921875,0.01013347788523844
2022-03-23,17446.05078125,-0.003037192550105483
2022-03-24,17429.94921875,-0.0009229345197885319
2022-03-25,17370.5,-0.003410751116018629
2022-03-28,17422.150390625,0.0029734544558301934
2022-03-29,17523.599609375,0.005823002125190602
2022-03-30,17684.30078125,0.009170557160472104
2022-03-31,17660.349609375,-0.0013543748306065195
2022-04-01,17879.5,0.012409176232200059
2022-04-04,18256.099609375,0.02106320698984865
2022-04-05,18195.099609375,-0.003341348990486215
2022-04-06,18075.099609375,-0.006595182360978669
2022-04-07,17920.80078125,-0.008536540957426841
2022-04-08,18089.30078125,0.009402481622154735
2022-04-11,18032.400390625,-0.003145527365213563
2022-04-12,17877.55078125,-0.008587298752278483
2022-04-13,17835.19921875,-0.00236898012586928
2022-04-18,17565.94921875,-0.015096551302714922
2022-04-19,17330.400390625,-0.013409399355064355
2022-04-20,17496.650390625,0.009592969363243053
2022-04-21,17750.19921875,0.014491278185500889
2022-04-22,17541.099609375,-0.011780127467759471
2022-04-25,17300.349609375,-0.013724909233816196
2022-04-26,17577.80078125,0.016037315900520932
2022-04-27,17398.55078125,-0.01019752142095065
2022-04-28,17615.400390625,0.012463659307112795
2022-04-29,17457.19921875,-0.00898084450917136
2022-05-02,17419.44921875,-0.002162431643642715
2022-05-04,17004.05078125,-0.023846818133197445
2022-05-05,17016.599609375,0.0007379905109927698
2022-05-06,16729.55078125,-0.016868753729555652
2022-05-09,16581.80078125,-0.008831677666180648
2022-05-10,16466.25,-0.006968530304661491
2022-05-11,16399.69921875,-0.004041647688453609
2022-05-12,16023.900390625,-0.02291498295867178
2022-05-13,15986.5,-0.0023340378879840307
2022-05-16,16079.0,0.005786132048916315
2022-05-17,16498.5,0.02608993096585599
2022-05-18,16485.80078125,-0.0007697195957208081
2022-05-19,16047.349609375,-0.02659568544426849
2022-05-20,16476.69921875,0.02675517265007854
2022-05-23,16409.75,-0.00406326642619137
2022-05-24,16312.2998046875,-0.005938554536936924
2022-05-25,16187.150390625,-0.007672088887585082
2022-05-26,16341.900390625,0.009560052032977051
2022-05-27,16516.80078125,0.010702573534552728
2022-05-30,16838.150390625,0.019455923312933443
2022-05-31,16767.5,-0.004195852215712281
2022-06-01,16688.94921875,-0.00468470441329949
2022-06-02,16794.75,0.006339571165519198
2022-06-03,16721.5,-0.004361482010747375
2022-06-06,16701.19921875,-0.0012140526418084052
